Type,Assignee,Created,Created Epoch,Description,Comments
Improvement,Unassigned,2007-04-18T16:06:05+0000,1176912365,,james you think we still need this?. see http://activemq.apache.org/camel/maven/camel-core/apidocs/org/apache/camel/RuntimeExchangeException.html. 
Bug,Hiram R. Chirino,2007-05-18T12:57:31+0000,1179493051,Will attach a dump,Fixed. Cwiki updated for amq  nms  cpp  and camel spaces.. 
Bug,James Strachan,2007-06-04T07:38:12+0000,1180942692,public void testNPE() throws Exception {         final CamelContext camelContext = new DefaultCamelContext();         final String fromQueue = "queue:A";         camelContext.addRoutes(new RouteBuilder() {             public void configure() throws Exception {                 from(fromQueue).process(new Processor() {                     public void process(Exchange exchange) throws Exception {                         final Message in = exchange.getIn();                         assertNotNull("Message is Null"  in);                         String isDebugString = in.getHeader("someproperty"  String.class);                         assertNull(isDebugString);                         assertNotNull("Message is Null"  in);                         boolean isDebug = in.getHeader("someproperty"  Boolean.class);                         assertFalse(isDebug);                     }                 });             }         });         camelContext.start();         new CamelTemplate(camelContext).sendBody(fromQueue  "ha!");         Thread.sleep(5000L);     }   throws NPE on the isDebug = ... line.,I've added a test case here  https://svn.apache.org/repos/asf/activemq/camel/trunk/camel-core/src/test/java/org/apache/camel/issues/Issue3Test.java  which is a minor refactor of your test case. (I switched to the direct: endpoint so that the send is synchronous  so no need to sleep & the exception fails the test case - also I used the handy base class for starting/stopping the context etc).  I got a valid stack trace BTW. I suspect the reason you didn't was a JVM thing (e.g. try running with hotspot disabled maybe?).  Basically the issue was to do with Java 5's type coercion and not anything specific with Camel.  Boolean b = in.getHeader("foo"  Boolean.class);  does work fine and returns null for an undefined property. However if you force it to be coerced to a 'boolean' rather than 'Boolean') you get an NPE as the value is null (since there is no header called "foo"). (The same is true when converting from Integer to int when the value is null).  I've just patched the converter code so that if you do  boolean b = in.getHeader("foo"  boolean.class);  then it returns a valid value and does not throw an NPE. (i.e. it returns false for missing headers).. 
New Feature,Unassigned,2007-06-07T20:51:09+0000,1181249469,,There's some discussion on this issue here: http://www.nabble.com/Monitoring-and-management-of-Camel-tf3886171s22882.html. Partial patch  support for jmx. More cleanup coming shortly.. Patch applied with thanks Hadrian!. I'm gonna mark this issue as resolved; we can always raise new issues for improvements or enhanced functionality. 
New Feature,Willem Jiang,2007-06-07T20:54:02+0000,1181249642,There's some discussion on this issue here: http://www.nabble.com/Monitoring-and-management-of-Camel-tf3886171s22882.html,Current Camel uses LifecycleStrategy to listen the Context's creation  Endpoint  Router  Service's adding events. So they are the same thing with the CamelRouterListener and CamelEndpointListener.  Since there is no method call for the route and endpoint stopping  removing in camel  all these instance will be clean up when stopping the CamelContext. I think we can resolve this issue.. 
New Feature,Willem Jiang,2007-06-07T20:54:38+0000,1181249678,There's some discussion on this issue here: http://www.nabble.com/Monitoring-and-management-of-Camel-tf3886171s22882.html,Current Camel uses LifecycleStrategy to listen the Context's creation  Endpoint  Router  Service's adding events. So they are the same thing with the CamelRouterListener and CamelEndpointListener.  Since there is no method call for the route and endpoint stopping  removing in camel  all these instance will be clean up when stopping the CamelContext. I think we can resolve this issue.. 
New Feature,Unassigned,2007-06-07T21:07:52+0000,1181250472,Background: http://www.enterpriseintegrationpatterns.com/Aggregator.html  Docs go here: http://activemq.apache.org/camel/enterprise-integration-patterns.html,See the documentation here: http://cwiki.apache.org/CAMEL/aggregator.html. 
New Feature,Unassigned,2007-06-07T21:09:09+0000,1181250549,Background: http://www.enterpriseintegrationpatterns.com/DynamicRouter.html  Docs: http://activemq.apache.org/camel/enterprise-integration-patterns.html,Moving to 2.0. James added some documentation here http://camel.apache.org/dynamic-router.html  Maybe this is sufficient?. Jonathan  yes that is perfect.  With the dynamic recipient list and getting the endpoints from your dynamic store allows you to do the dynamic router EIP. So lets call this a day then.. Closing all 2.0M2 tickets. 
New Feature,Unassigned,2007-06-07T21:11:14+0000,1181250674,To visualise routes as DOT files or in Eclipse we need to be able to walk the tree as simple POJOs more easily,FWIW the need for this has diminished slightly due to the new JAXB2 POJO model we have; as the POJO model is fairly easy to navigate. I don't think we need this anymore as we have the POJO model for the routing definition in org.apache.camel.model package. 
New Feature,Hadrian Zbarcea,2007-06-07T21:12:21+0000,1181250741,,this issue is related to CAMEL-4. Fancy taking a stab at this one - given the great work of your other patch?. Patch applied with thanks!. 
